Identifier,Title,Author,Description,collection
IDOL-OC-ESP-MAY-2018-QP,Embedded Systems And Programming (Elective – I) (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
IDOL-OC-GIS-MAY-2018-QP,GIS (Elective – II) (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
IDOL-OC-IS-MAY-2018-QP,Internet Security (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
IDOL-OC-M-MAY-2018-QP,Multimedia (Elective – I) (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
IDOL-OC-MIS-MAY-2018-QP,Management Information Systems (Elective – II) (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
IDOL-OC-SQL-2-MAY-2018-QP,SQL – 2 (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
IDOL-OC-VB-6-MAY-2018-QP,Visual Basic – 6 (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
IDOL-OC-WD-MAY-2018-QP,Web Design and Internet Based Applications (Elective – I) (May – 2018) [IDOL - Old Course | Question Paper],K,"<b><u>Web Design and Internet Based Applications (Elective – I) (May – 2018) [IDOL - Old Course | Question Paper]</u></b><div><br /></div><div><i>May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems</i><br /></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
SEM-V-IDOL-OC-MAY-2018-QP,B.Sc.IT: SEMESTER - V (May - 2018) [IDOL: Old Course | Question Paper],K,"<div><b><u>B.Sc.IT: SEMESTER - V (May - 2018) [IDOL: Old Course | Question Paper]</u></b><br /></div><div><b><u><br /></u></b></div><div><b>advanced java, bscit, elective - i, embedded systems and </b><i>programming, internet security, may - 2018, multimedia, mumbai university, mumbai university old course, old course, old course question paper, old question paper, question papers, semester v old course, semester v question paper, sql - 2, tybscit, tybscit semester v, visual basic - 6, web design and internet based applications</i><br /></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
BSCITSEMVSYLLABUS,B.Sc.IT: Semester - V – Syllabus (2018 - 2019) [Mumbai University] ,K,"<b><u>B.Sc.IT: Semester - V – Syllabus (2018 - 2019) [Mumbai University] </u></b><div><b><u><br /></u></b></div><div><i></i><div>Software Project Management, Internet of Things, Artificial Intelligence, Advanced Web Programming, Linux System Administration, Enterprise Java, Next Generation Technologies, Elective - I, Elective - II, </div><div>semester v, bscit, mumbai university, syllabus, 2018-2019, </div></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
kamalthakurbscit_gmail_AWP,Advanced Web Programming – Syllabus (2018 - 2019) [Mumbai University] ,K,"<div><b><u>Advanced Web Programming – Syllabus (2018 - 2019) [Mumbai University] </u></b><br /></div><div><br /></div><div><i></i><div>Software Project Management, Internet of Things, Artificial Intelligence, Advanced Web Programming, Linux System Administration, Enterprise Java, Next Generation Technologies, Elective - I, Elective - II, </div><div>semester v, bscit, mumbai university, syllabus, 2018-2019, </div></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
kamalthakurbscit_gmail_EJ,Enterprise Java – Syllabus (2018 - 2019) [Mumbai University] ,K,"<div><b><u>Enterprise Java – Syllabus (2018 - 2019) [Mumbai University] </u></b><br /></div><div><br /></div><div><i></i><div>Software Project Management, Internet of Things, Artificial Intelligence, Advanced Web Programming, Linux System Administration, Enterprise Java, Next Generation Technologies, Elective - I, Elective - II, </div><div>semester v, bscit, mumbai university, syllabus, 2018-2019, </div></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
kamalthakurbscit_gmail_IOT,Internet of Things – Syllabus (2018 - 2019) [Mumbai University] ,K,"<div><b><u>Internet of Things – Syllabus (2018 - 2019) [Mumbai University] </u></b><br /></div><div><br /></div><div><i></i><div>Software Project Management, Internet of Things, Artificial Intelligence, Advanced Web Programming, Linux System Administration, Enterprise Java, Next Generation Technologies, Elective - I, Elective - II, </div><div>semester v, bscit, mumbai university, syllabus, 2018-2019, </div></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
kamalthakurbscit_gmail_LSA,Linux System Administration – Syllabus (2018 - 2019) [Mumbai University] ,K,"<div><b><u>Linux System Administration – Syllabus (2018 - 2019) [Mumbai University] </u></b><br /></div><div><br /></div><div><i></i><div>Software Project Management, Internet of Things, Artificial Intelligence, Advanced Web Programming, Linux System Administration, Enterprise Java, Next Generation Technologies, Elective - I, Elective - II, </div><div>semester v, bscit, mumbai university, syllabus, 2018-2019, </div></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
kamalthakurbscit_gmail_SPM,Software Project Management – Syllabus (2018 - 2019) [Mumbai University] ,K,"<div><b><u>Software Project Management – Syllabus (2018 - 2019) [Mumbai University] </u></b><br /></div><div><br /></div><div><i></i><div>Software Project Management, Internet of Things, Artificial Intelligence, Advanced Web Programming, Linux System Administration, Enterprise Java, Next Generation Technologies, Elective - I, Elective - II, </div><div>semester v, bscit, mumbai university, syllabus, 2018-2019, </div></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
the-java-language-specification-java-se-11-edition,"The Java Language Specification, Java SE 11 Edition",O,"The Java Language Specification, Java SE 11 Edition <br />",opensource
kamalthakurbscit_gmail_AI,Artificial Intelligence – Syllabus (2018 - 2019) [Mumbai University] ,K,"<div><b><u>Artificial Intelligence – Syllabus (2018 - 2019) [Mumbai University] </u></b><br /></div><div><br /></div><div><i></i><div>Software Project Management, Internet of Things, Artificial Intelligence, Advanced Web Programming, Linux System Administration, Enterprise Java, Next Generation Technologies, Elective - I, Elective - II, </div><div>semester v, bscit, mumbai university, syllabus, 2018-2019, </div></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
kamalthakurbscit_gmail_NGT,Next Generation Technologies – Syllabus (2018 - 2019) [Mumbai University] ,K,"<div><b><u>Next Generation Technologies – Syllabus (2018 - 2019) [Mumbai University] </u></b><br /></div><div><br /></div><div><i></i><div>Software Project Management, Internet of Things, Artificial Intelligence, Advanced Web Programming, Linux System Administration, Enterprise Java, Next Generation Technologies, Elective - I, Elective - II, </div><div>semester v, bscit, mumbai university, syllabus, 2018-2019, </div></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
StandfordWeek1A,Standford Week 1 A,R,intro to java programming ,"['opensource', 'community']"
OOPSR2017,OOPSR 2017,K,"

<p class=""MsoNormal"" style=""margin-bottom:12pt;text-align:justify;line-height:150%;"">This book “Object Oriented Programming” is about basic idea towards
object oriented programming with Java. It provides clear view towards object
oriented mechanism adapted in programming languages. It provides a preliminary
study on understanding Java with several illustration program. It affords procedural
footsteps from command-line to graphical user interface.</p>

","['opensource', 'community']"
ERIC_ED592860,ERIC ED592860: Using Chess Programming in Computer Education,E,"Chess programming is an old and venerable branch of game development. In the modern computing environment, it encompasses the development of chess engines, chess user interfaces (UIs), chess tournament broadcast tools, chess databases, endgame tablebases (EGTBs) and opening books. In this paper, the author shares his multi-year experience of utilizing most of these components of chess programming in teaching undergraduate courses in computer science (CS) and computer and information technology (CIT). The courses at different levels were taught at Edinboro University of Pennsylvania and, most recently, at Purdue Polytechnic Columbus, formerly called Purdue College of Technology Columbus. They involved teaching programming in C, C++ and Java, as well as system administration. We will discuss the courses' structure and learning outcomes, the choices of tools and equipment, how the courses progressed, individual assignments and team projects, the lessons learned, the specifics of getting the students engaged, and the author's plans for the future work aimed at improvement of programming and computer networking skills of Purdue Polytechnic students via their involvement in different aspects of chess programming. [For the full proceedings, see ED592847.]","['ericarchive', 'additional_collections']"
DTIC_ADA409209,DTIC ADA409209: Anatomical Models for Virtual Reality and Web-Based Applications,D,"We present a methodology for the creation, manipulation and transmission of 3D anatomical models starting from stacks of medical images. The anatomical information for the models is first segmented from the images and then used by a surface reconstruction algorithm to create 3D meshes that accurately represent the surface of the organs being modeled. The meshes are then exported in an open format for manipulation in a graphics platform. Using high-end graphics algorithms we render and texture-map our meshes. We can also deform the meshes and assign physical and material properties to them. Our models can be used for virtual reality applications and can also be transmitted over the Internet for remote interactive visualization and retrieval.","['dticarchive', 'additional_collections']"
rfc8353,Generic Security Service API Version 2: Java Bindings Update,M. Upadhyay,"The Generic Security Services Application Programming Interface (GSS-API) offers application programmers uniform access to security services atop a variety of underlying cryptographic mechanisms. This document updates the Java bindings for the GSS-API that are specified in ""Generic Security Service API Version 2: Java Bindings Update"" (RFC 5653). This document obsoletes RFC 5653 by adding a new output token field to the GSSException class so that when the initSecContext or acceptSecContext methods of the GSSContext class fail, it has a chance to emit an error token that can be sent to the peer for debugging or informational purpose. The stream-based GSSContext methods are also removed in this version.",rfcseries
2018JavaNotesForProfessionals,Java Notes for Professionals,S,"<p>The <i>Java® Notes for Professionals</i> book is compiled from <a href=""https://archive.org/details/documentation-dump.7z"" rel=""nofollow"">Stack Overflow Documentation</a>, the content is written by the beautiful people at Stack Overflow. Text content is released under Creative Commons BY-SA. See credits at the end of this book whom contributed to the various chapters. Images may be copyright of their respective owners unless otherwise specified.</p>
<p>Book created for educational purposes and is not affiliated with Java group(s), company(s) nor Stack Overflow. All trademarks belong to their respective company owners.</p>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
ERIC_ED590377,ERIC ED590377: Dynamic Program Visualization on Android Smartphones for Novice Java Programmers,E,"Dynamic program visualization tools helps to reduce the cognitive load of students in learning programming. However, to authors' understanding there is no dynamic program visualization tool that can be used in a widely available smartphones. In this study, we design a Dynamic visualization engine for java programs that is integrated to java code interpreter that runs on android smartphones. This tool will be valuable to students who do not have access to computers. It can also increase productivity in smartphone usage among lower secondary schools students. [For the complete proceedings, see ED590271.]","['ericarchive', 'additional_collections']"
httpsierj.injournalindex.phpierjarticleview1534,EXPLORING KOTLIN’S ENHANCEMENTS FOR MULTIPLATFORM PROJECTS,P,"<span style=""color:rgba(0,0,0,0.87);font-family:'Noto Sans', '-apple-system', BlinkMacSystemFont, 'Segoe UI', Roboto, 'Oxygen-Sans', Ubuntu, Cantarell, 'Helvetica Neue', sans-serif;font-size:14px;background-color:rgb(255,255,255);"">There has been a huge growing interest for using the newly launched Kotlin programming language in scientific and engineering applications. While Java which is one of the most widely used programming languages and also the official language of Android development, there are various reasons why Java might not always be the best option for various projects. This is just because Kotlin truly offers several features, which other traditional languages (C, C++, Java and FORTRAN) lack. Also, the historic poor performance of Java stops it from being widely used in scientific applications. Kotlin 1.2 was a major new release and a big step on the road towards enabling the use of Kotlin across all components of a modern application and multiplatform project. This study explores the major improvements and feature scopes over the year of the newly released enhanced version of Kotlin.</span>","['journals_contributions', 'journals']"
the-java-language-specification-java-se-10-edition,"The Java Language Specification, Java SE 10 Edition",O,"The Java Language Specification, Java SE 10 Edition <br />",opensource
ijtret-vol2-issue1-6,STT-TTS Conversion Engine for Facilitating impaired people to Communicate on normal voice call,S,"<div>The disabled (hearing and speech impaired people) find it difficult to communicate through a normal voice call. They require the ability to talk/listen remotely and this is unavoidable in emergency situations. To rectify this problem we propose a speech recognizing and conversion android application that has two major modules- a speech to text engine and a text to speech engine. The former receives an incoming call as the input and converts it to text which will be displayed on an interface, the latter receives the text on the interface and uses android speech synthesis to generate a voice and transmits it to the other end. It is to be noted that it’s not mandatory for both users in the communication to have the app, only the disabled people will have the app.</div><div><br /></div>","['opensource', 'community']"
2018eloquentjavascript,Eloquent JavaScript: A Modern Introduction to Programming,M,"<br />JavaScript lies at the heart of almost every modern web application, from social apps like Twitter to browser-based game frameworks like Phaser and Babylon. Though simple for beginners to pick up and play with, JavaScript is a flexible, complex language that you can use to build full-scale applications.<br /><br />This much anticipated and thoroughly revised third edition of Eloquent JavaScript dives deep into the JavaScript language to show you how to write beautiful, effective code. It has been updated to reflect the current state of Java¬Script and web browsers and includes brand-new material on features like class notation, arrow functions, iterators, async functions, template strings, and block scope. A host of new exercises have also been added to test your skills and keep you on track.<br /><br />As with previous editions, Haverbeke continues to teach through extensive examples and immerses you in code from the start, while exercises and full-chapter projects give you hands-on experience with writing your own programs. You start by learning the basic structure of the JavaScript language as well as control structures, functions, and data structures to help you write basic programs. Then you'll learn about error handling and bug fixing, modularity, and asynchronous programming before moving on to web browsers and how JavaScript is used to program them. As you build projects such as an artificial life simulation, a simple programming language, and a paint program, you'll learn how to:<br /><br /><ul><li>Understand the essential elements of programming, including syntax, control, and data</li><li>Organize and clarify your code with object-oriented and functional programming techniques</li><li>Script the browser and make basic web applications</li><li>Use the DOM effectively to interact with browsers</li><li>Harness Node.js to build servers and utilities</li></ul><br /><div>Isn't it time you became fluent in the language of the Web?</div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
apostilas-java-etec,Apostilas de Programação Java,E,"Apostilas de Programação Java, Etec Prof. Horácio Augusto da Silveira, 2018.","['booksbylanguage_portuguese', 'booksbylanguage']"
intrinsically-typed-definitional-interpreters,Intrinsically-Typed Definitional Interpreters for Imperative Languages,C,"<div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">Casper Bach Poulsen; Arjen Rouvoet; Andrew Tolmach; Robbert Krebbers; Eelco Visser</span></div><div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""><br /></span></div><div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">A definitional interpreter defines the semantics of an object language in terms of the (well-known) semantics</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> of a host language, enabling understanding and validation of the semantics through execution. Combining</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> a definitional interpreter with a separate type system requires a separate type safety proof. An alternative</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> approach, at least for pure object languages, is to use a dependently-typed language to encode the object </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">language type system in the definition of the abstract syntax. Using such intrinsically-typed abstract syntax </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">definitions allows the host language type checker to verify automatically that the interpreter satisfies type</span> <span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">safety. Does this approach scale to larger and more realistic object languages, and in particular to languages </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">with mutable state and objects?</span><br /><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""><br /></span></div><div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">In this paper, we describe and demonstrate techniques and libraries in Agda that successfully scale up</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> intrinsically-typed definitional interpreters to handle rich object languages with non-trivial binding structures</span> <span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">and mutable state. While the resulting interpreters are certainly more complex than the simply-typed</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">λ</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">-</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">calculus interpreter we start with, we claim that they still meet the goals of being concise, comprehensible,</span> <span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">and executable, while guaranteeing type safety for more elaborate object languages. We make the following</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> contributions: (1) A</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">dependent-passing style</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">technique for hiding the weakening of indexed values as they </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">propagate through monadic code. (2) An Agda library for programming with</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">scope graphs</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">and</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">frames</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">, which</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> provides a uniform approach to dealing with name binding in intrinsically-typed interpreters. (3) Case studies</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> of intrinsically-typed definitional interpreters for the simply-typed</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">λ</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">-calculus with references (STLC+Ref)</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> and for a large subset of Middleweight Java (MJ).</span></div>","['opensource', 'community']"
java-the-complete-reference-eleventh-edition,java-the-complete-reference-eleventh-edition,S,"<span style=""color:rgb(51,51,51);font-family:'Amazon Ember', Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">The definitive guide to Java programming—thoroughly revised for long-term support release Java SE 11. Fully updated for the current version of Java, Java SE 11, This practical guide from Oracle press shows, step by step, how to design, write, troubleshoot, run, and maintain high-performance Java programs. Inside, bestselling author Herbert schildt covers the entire Java language, including its syntax, Keywords, and libraries. The book lays out cutting-edge programming techniques and best practices. Java: the complete reference, eleventh edition features clear explanations, detailed code samples, and real-world examples that demonstrate how Java can be put to work in the real world. Javabeans, servlets, applets, swing, Lambda expressions, multithreading, and the default interface method are thoroughly discussed. Readers will get full details on all of the new features and functions available in Java SE 11. Highlights: 1. Designed for novice, intermediate, and professional programmers alike 2. Source code for all examples and projects are available for download 3. Written in the clear, uncompromising style herb schildt is famous for.</span>","['opensource', 'community']"
perf-zine,Profiling & tracing with perf,J,"<blockquote><p>Want to get better at profiling & tracing your programs on Linux? perf is a super useful tool, but it’s fairly complicated and I found it hard to get started with. Over the last 4 years, I’ve learned a lot about how perf works, and I’ve compressed what I know into this zine for you!</p>
<p>You’ll learn how you can use perf to profile programs in many different programming languages (C, node.js, Java, Rust, and more!), how to count any kernel event you’re interested in (syscalls! network packets sent!), how to analyze the data that perf gives you, and more!</p>
</blockquote>

<p><a href=""https://wizardzines.com/zines/perf/"" rel=""nofollow"">https://wizardzines.com/zines/perf/</a></p>","['zines_inbox', 'zines']"
NASA_NTRS_Archive_20170012220,NASA Technical Reports Server (NTRS) 20170012220: QSPIN: A High Level Java API for Quantum Computing Experimentation,N,"QSPIN is a high level Java language API for experimentation in QC models used in the calculation of Ising spin glass ground states and related quadratic unconstrained binary optimization (QUBO) problems. The Java API is intended to facilitate research in advanced QC algorithms such as hybrid quantum-classical solvers, automatic selection of constraint and optimization parameters, and techniques for the correction and mitigation of model and solution errors. QSPIN includes high level solver objects tailored to the D-Wave quantum annealing architecture that implement hybrid quantum-classical algorithms [Booth et al.] for solving large problems on small quantum devices, elimination of variables via roof duality, and classical computing optimization methods such as GPU accelerated simulated annealing and tabu search for comparison. A test suite of documented NP-complete applications ranging from graph coloring, covering, and partitioning to integer programming and scheduling are provided to demonstrate current capabilities.","['NASA_NTRS_Archive', 'additional_collections']"
DTIC_AD1043395,DTIC AD1043395: Verified compilation of Concurrent Managed Languages,D,"The goal of the Havoc project was to explore new proof techniques and methodologies that would enable scalable and modular verification of modern concurrent programming languages like Java or C# . The efforts undertaken during the lifetime of this effort focused on (a) new proof techniques, specifically the use of refinement methods and tactics to simplify reasoning about interferences in proving invariants about concurrent code; (b) incorporating precise notions of memory models, both at the processor and language level, to enable compilation to exploit and be faithful to language definitions and processor features; (c) new designs for compiler intermediate representations that facilitate mechanized proofs and verification; and (d) a realistic case study that combines these ideas to prove the correctness of a state-of-the-art concurrent garbage collector.","['dticarchive', 'additional_collections']"
ERIC_EJ1161807,ERIC EJ1161807: The Effect of Animation in Multimedia Computer-Based Learning and Learning Style to the Learning Results,E,"The effectiveness of a learning depends on four main elements, they are content, desired learning outcome, instructional method and the delivery media. The integration of those four elements can be manifested into a learning module which is called multimedia learning or learning by using multimedia. In learning context by using computer-based multimedia, there are two main things that need to be noticed so that the learning process can run effectively: how the content is presented, and what the learner's chosen way in accepting and processing the information into a meaningful knowledge. First it is related with the way to visualize the content and how people learn. The second one is related with the learning style of the learner. This research aims to investigate the effect of the type of visualization--static vs animated--on a multimedia computer-based learning, and learning styles--visual vs verbal, towards the students' capability in applying the concepts, procedures, principles of Java programming. Visualization type act as independent variables, and learning styles of the students act as a moderator variable. Moreover, the instructional strategies followed the Component Display Theory of Merril, and the format of presentation of multimedia followed the Seven Principles of Multimedia Learning of Mayer and Moreno. Learning with the multimedia computer-based learning has been done in the classroom. The subject of this research was the student of STMIK-STIKOM Bali in odd semester 2016-2017 which followed the course of Java programming. The Design experiments used multivariate analysis of variance, MANOVA 2 x 2, with a large sample of 138 students in 4 classes. Based on the results of the analysis, it can be concluded that the animation in multimedia interactive learning gave a positive effect in improving students' learning outcomes, particularly in the applying the concepts, procedures, and principles of Java programming. The difference of students' learning styles--visual or verbal, it can also gave the different effect in students' learning results acquisition. There was no interaction effect between the factors of visualization type and learning styles.","['ericarchive', 'additional_collections']"
the-java-language-specification-java-se-9-edition,"The Java Language Specification, Java SE 9 Edition",O,"The Java Language Specification, Java SE 9 Edition<br />",opensource
android-8.7-cc,The Busy Coder's Guide to Android Development (Version 8.7),M,"<p>Do you want comprehensive information about how to develop Android apps? This book contains over 200 chapters, covering everything from the first steps in getting an app going to advanced development techniques. Use the search field in the nav bar to see what is inside this book and the rest of the CommonsWare library!</p>

<p>This book is published in PDF, EPUB, and MOBI/Kindle formats, for use in your favorite digital book reader. Or, read directly in your Web browser on <a href=""https://wares.commonsware.com"" rel=""nofollow"">the Warescription site</a>, complete with full-text searching.</p>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
ERIC_EJ1140879,ERIC EJ1140879: Java vs. Python Coverage of Introductory Programming Concepts: A Textbook Analysis,E,"In this research, we compare two languages, Java and Python, by performing a content analysis of words in textbooks that describe important programming concepts. Our goal is to determine which language has better textbook support for teaching introductory programming courses. We used the TextSTAT program to count how often our list of concept words appear in a sample of Java and Python textbooks. We summarize and compare the results, leading to several conclusions that relate to the choice of language for a CS0 or CS1 course.","['ericarchive', 'additional_collections']"
ERIC_EJ1142289,ERIC EJ1142289: Understanding Learners' Motivation and Learning Strategies in MOOCs,E,"MOOCs (Massive Open Online Courses) have changed the way in which OER (Open Educational Resources) are bundled by teachers and consumed by learners. MOOCs represent an evolution towards the production and offering of structured quality OER. Many institutions that were initially reluctant to providing OER have, however, joined the MOOC wave. Nevertheless, MOOCs detractors strongly criticize their high dropout rates. The dropout rate is a commonly accepted metric of success for traditional education, but it may not be as suitable when dealing with OER, in general, and with MOOCs, in particular, since learners' motivations to take a course are very diverse, and certain self-regulated learning strategies are required to tackle the lack of personalized tutoring and keep pace in the course. This paper presents an empirical study on the motivation and learning strategies of MOOC learners. Six thousand three hundred and thirty-five learners from 160 countries answered a self-report 7-point Likert-type questionnaire based on the Motivated Strategies for Learning Questionnaire (MSLQ) as part of a MOOC titled ""Introduction to Programming with Java"". Results indicate that learners were highly motivated and confident to do well in the course. Learning strategies, however, can be improved, especially regarding time management.","['ericarchive', 'additional_collections']"
NASA_NTRS_Archive_20170004398,NASA Technical Reports Server (NTRS) 20170004398: Electronics and Software Engineer for Robotics Project Intern,N,"I was assigned to mentor high school students for the 2017 First Robotics Competition. Using a team based approach, I worked with the students to program the robot and applied my electrical background to build the robot from start to finish. I worked with students who had an interest in electrical engineering to teach them about voltage, current, pulse width modulation, solenoids, electromagnets, relays, DC motors, DC motor controllers, crimping and soldering electrical components, Java programming, and robotic simulation. For the simulation, we worked together to generate graphics files, write simulator description format code, operate Linux, and operate SOLIDWORKS. Upon completion of the FRC season, I transitioned over to providing full time support for the LCS hardware team. During this phase of my internship I helped my co-intern write test steps for two networking hardware DVTs , as well as run cables and update cable running lists.","['NASA_NTRS_Archive', 'additional_collections']"
